methods pbe pbe-d3 camb3lyp-d3 b3lyp/gtbas1 hf/gtbas1 hf/gtbas2 hf/gtbas3 hf/gtlargexp hf/gfhfb1 hf/gfhfb2 mp2/gtbas1 mp2/gtbas2 mp2/gtbas3 mp2/gtlargexp mp4/gtbas1 mp4/gtbas2 mp4/gtbas3 ccsd(t)/gtbas1 g4(0k) zpe camb3lyp wb97xd
f0_H2_000 -1.16611388029 -1.16620554866 -1.17163870807 -1.17853935735 -1.12671001207 -1.12671001207 -1.13125874604 -1.13297276286 -1.13336106232 -1.13356686634 -0.11441215993213E01 -0.11441215993213E01 -0.11576042145280E01 -0.11627731082161E01 -0.11509537456E01 -0.11509537456E01 -0.11645483942E01 -0.11516902609E01 -1.168020 0.010025 -1.17158792658 -1.17662578388
f1_CH4_000 -40.4619857091 -40.4631702476 -40.5032223792 -40.5236803134 -40.1949717597 -40.1954832381 -40.2032787712 -40.2121885349 -40.2158138857 -40.2166703680 -0.40332540300454E02 -0.40334077905345E02 -0.40384879698034E02 -0.40449397616331E02 -0.40354829626E02 -0.40356567504E02 -0.40411132457E02 -0.40355901861E02 -40.465321 0.044080 -40.5025045262 -40.5183738748
f1_H2O_000 -76.3771806375 -76.3775401308 -76.4354431216 -76.4260780016 -76.0102421343 -76.0171441880 -76.0283413984 -76.0573706530 -76.0648919092 -76.0666716306 -0.76196760185023E02 -0.76209520491729E02 -0.76267299057189E02 -0.76365459867787E02 -0.76207202438E02 -0.76220091682E02 -0.76282004227E02 -0.76207701429E02 -76.397252 0.021063 -76.4352307723 -76.4373497241
f1_H2S_000 -399.230058253 -399.230859494 -399.417121917 -399.396566148 -398.666826706 -398.667625854 -398.681396986 -398.710227767 -398.717740762 -398.719435683 -0.39878835526161E03 -0.39879013176469E03 -0.39885405568709E03 -0.39920348781454E03 -0.39881203467E03 -0.39881392838E03 -0.39888499407E03 -0.39881342575E03 -399.258497 0.014846 -399.416568998 -399.406778125
f1_H3N_000 -56.5091913548 -56.5099544495 -56.5559689644 -56.5602457674 -56.1837448615 -56.1886452527 -56.1985717153 -56.2181265634 -56.2229246674 -56.2241424223 -0.56354165508269E02 -0.56362814133101E02 -0.56414877908922E02 -0.56495928842808E02 -0.56371249081E02 -0.56379877632E02 -0.56435569596E02 -0.56372029935E02 -56.517616 0.033866 -56.5555165929 -56.5647873837
f1_H4N_000 -56.8447833347 -56.8459744902 -56.8908631558 -56.9059556446 -56.5301712750 -56.5306674535 -56.5465993507 -56.5619069516 -56.5673025621 -56.5685206408 -0.56700281830550E02 -0.56701154263035E02 -0.56759272344617E02 -0.56831810810877E02 -0.56718579740E02 -0.56719605180E02 -0.56781210474E02 -0.56719591500E02 -56.840931 0.048681 -56.8901622698 -56.9060225615
f1_H4S_000 -400.299485499 -400.301386822 -400.480865010 -400.464062686 -399.649855952 -399.650378593 -399.679360930 -399.713756140 -399.718212565 -399.723235220 -0.39979554652315E03 -0.39979683940440E03 -0.39989045408017E03 -0.40025004510452E03 -0.39982790668E03 -0.39982936019E03 -0.39992922161E03 -0.39983122993E03 -400.304466 0.033269 -400.479575586 -400.476566205
f1_H5P_000 -344.094157896 -344.096798651 -344.271626861 -344.263042153 -343.498888586 -343.499186235 -343.523293258 -343.553774012 -343.558127733 -343.562445045 -0.34361706106801E03 -0.34361796799558E03 -0.34370236329062E03 -0.34404731743869E03 -0.34364798309E03 -0.34364899802E03 -0.34374117542E03 -0.34365116741E03 -344.092675 0.041205 -344.269817059 -344.270089432
f1_H6S_000 -401.406091575 -401.409436588 -401.587511283 -401.573005406 -400.687608823 -400.687846154 -400.734465479 -400.775245450 -400.775406845 -400.784692348 -0.40084992511593E03 -0.40085046768557E03 -0.40097685541931E03 -0.40134587927845E03 -0.40088614101E03 -0.40088688496E03 -0.40102073309E03 -0.40088959674E03 -401.391434 0.055372 -401.585289378 -401.588994963
f2_C2H2_000 -77.2483904735 -77.2497043643 -77.3120048850 -77.3352679794 -76.8173756338 -76.8227810057 -76.8285016385 -76.8485811152 -76.8547623348 -76.8558657315 -0.77066089885370E02 -0.77072356657511E02 -0.77124433737499E02 -0.77244545930526E02 -0.77092701026E02 -0.77098816537E02 -0.77154288878E02 -0.77092966096E02 -77.290354 0.026449 -77.3110929988 -77.3253090482
